id,classification
1,政策法規
2,─依公務人員相關法規訓練
3,──考試錄取人員訓練
4,──進用初任公務人員訓練
5,──升任官等訓練
6,──初任各官等主管人員訓練
7,──行政中立訓練
254,──升官等訓練(保訓會暨所屬所適用)
8,─政策宣導訓練
263,──消費者保護
267,──生物多樣性
268,──永續發展課程
336,───節能減碳課程
278,──天然災害講習
318,──全民國防教育
337,──環境教育
338,───學校及社會環境教育
339,───氣候變遷
340,───災害防救
341,───自然保育
342,───公害防治
343,───環境及資源管理
344,───文化保存
345,───社區參與
346,──性別主流化基礎課程
347,───婦女政策綱領及政策白皮書
350,────婦女政治參與
351,────婦女人身安全 
352,────婦女健康與醫療
353,────婦女勞動與經濟
354,────婦女福利與脫貧
355,────婦女教育與文化
348,───性別主流化的發展與運用
356,────歷史發展與總體架構
357,────工具概念與實例運用
349,───性別意識培力
358,────一般通論
359,────工作職場
360,────人身安全
361,────學校與社會教育
362,────婚姻與家庭
363,────醫療與健康
364,────原住民、新移民
365,────文學、藝術、媒體
366,──性別主流化進階課程
367,───婦女政策綱領及政策白皮書
370,────婦女政治參與
371,────婦女人身安全
372,────婦女健康與醫療
373,────婦女勞動與經濟
374,────婦女福利與脫貧
375,────婦女教育與文化
368,───性別主流化的發展與運用
376,────歷史發展與總體架構
377,────工具概念與實例運用
369,───性別意識培力
378,────一般通論
379,────工作職場
380,────人身安全
381,────學校與社會教育
382,────婚姻與家庭
383,────醫療與健康
384,────原住民、新移民
385,────文學、藝術、媒體
9,─簡任職領導訓練
10,─綜合發展
11,專業行政
12,─普通行政
23,──一般行政
24,──一般民政
25,──役政
26,──僑務行政
27,──社會行政
28,──人事行政
29,──法制
30,──地政
327,──法治教育
332,───法治教育(基礎性)
333,───法治教育(一般性)
334,───法治教育(專業性)
328,──普通行政
329,──普通行政
330,──普通行政
331,───普通行政
13,─文教新聞行政
31,──文教行政
32,──新聞編譯
33,──圖書博物管理
253,──檔案管理
14,─財務行政
34,──財稅行政
35,──金融
36,──保險
37,──會計
38,──審計
39,──統計
15,─法務行政
40,──司法行政
41,──安全保防
42,──政風
16,─經建行政
43,──經建行政
44,──經貿管理
45,──企業管理
46,──交通行政
17,─外交事務
18,─審檢
19,─警政
47,──警察行政
20,─衛生行政
48,──衛生環保行政
21,─消防行政
22,─海巡行政
49,專業技術
50,─農林技術
64,──農業技術
65,──林業技術
66,──水產技術
67,──畜牧獸醫
51,─土木工程
52,─機械工程
53,─電機工程
68,──電力工程
69,──電子工程
54,─資訊安全與管理
70,──資訊管理
71,──資訊科學
72,──資訊工程
73,──作業系統
74,──應用程式
75,──程式設計
76,──電腦網路
55,─物理
77,──物理
78,──原子能
56,─工業
79,──化學工程
80,──工業工程
57,─檢驗
58,─地質礦冶
81,──地質
82,──礦冶材料
59,─測量製圖
60,─醫療
83,──醫療
84,──牙醫
61,─醫事
85,──護理助產
86,──藥事
87,──醫事技術
88,──醫學工程
62,─刑事鑑識
89,──法醫
90,──刑事鑑識
63,─交通技術
91,──交通技術
92,──航空駕駛
93,──船舶駕駛
94,─天文氣象
95,─技藝
96,─攝影放映
97,─衛生技術
100,──衛生環保技術
98,─消防技術
99,─海巡技術
101,管理
102,─管理訓練
103,─領導統御
104,─危機管理
105,─變革管理
106,─時間管理
107,─目標管理
108,─績效管理
109,─團隊建立與發展
110,─跨域管理
111,─行銷管理
135,──簡報技巧
136,──銷售技巧
137,──談判技巧
112,─激勵與授能
113,─工作教導
114,─壓力管理
115,─品質管理
116,─會議管理
117,─專案管理
118,─問題分析與解決
119,─決策管理
120,─知識管理
335,──知識管理
121,─生涯管理
122,─公關媒體
123,─溝通協調
124,─創意管理
125,─人力資源管理
126,─人力資源開發
127,─財務管理
128,─服務管理
165,──電話服務
166,──櫃臺服務
167,──服務禮貌
129,─策略管理
130,─研發管理
131,─生產管理
132,─地產管理
133,─企業文化
134,─企業形象
168,人文素養
169,─文學
170,─歷史
192,──臺灣民俗文物
193,──古蹟
194,──文化資產
171,─地理
172,─哲學
173,─社會
174,─美術
175,─音樂
176,─戲劇
177,─舞蹈
178,─電影
179,─運動
180,─團康
181,─休閒旅遊
182,─養生保健
195,──婦幼衛生
196,──兒童保健
197,──太極
198,──瑜珈
199,──養身
183,─生活禮儀
200,──電話禮儀
264,──國際禮儀
184,─生態環保
185,─投資理財
186,─手工技藝
201,──陶藝
325,──玻璃
187,─語文
202,──英文
203,──日文
204,──德文
205,──西班牙文
206,──法文
256,──閩南語
257,──客家語
258,──原住民語
259,──其他鄉土語言
270,──韓文
271,──俄文
272,──阿拉伯文
273,──土耳其文
274,──葡萄牙文
275,──義大利文
316,──其他外國語文
188,─社區概念
189,─少數民族
190,─宗教
191,─心理
250,─急救/救生保健及備災
265,─家庭
276,──親子
277,──夫妻
324,─美容
